TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,BRANCH,1.0,2,2
org.jfree.data.time.TimePeriodValues,BRANCH,1.0,74,74
org.jfree.data.xy.XYSeries,BRANCH,1.0,103,103
org.jfree.data.DefaultKeyedValues,BRANCH,0.9841269841269841,63,62
org.jfree.chart.util.ShapeList,BRANCH,0.5294117647058824,17,9
org.jfree.data.time.Week,BRANCH,0.8674698795180723,83,72
org.jfree.chart.block.BorderArrangement,BRANCH,0.9508196721311475,122,116
org.jfree.data.DefaultKeyedValues2D,BRANCH,0.9655172413793104,87,84
org.jfree.chart.plot.ValueMarker,BRANCH,0.9230769230769231,13,12
org.jfree.chart.util.ShapeUtilities,BRANCH,0.959349593495935,123,118
org.jfree.data.category.DefaultIntervalCategoryDataset,BRANCH,0.927007299270073,137,126
org.jfree.chart.renderer.GrayPaintScale,BRANCH,1.0,15,15
org.jfree.data.time.TimeSeries,BRANCH,0.9751552795031055,161,157
org.jfree.chart.plot.MultiplePiePlot,BRANCH,0.9479166666666666,96,91
org.jfree.data.time.TimeSeries,BRANCH,0.9813664596273292,161,158
org.apache.commons.cli.CommandLine,BRANCH,1.0,33,33
org.jfree.data.time.TimeSeries,BRANCH,0.9823788546255506,227,223
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,BRANCH,0.6313868613138686,274,173
org.jfree.chart.plot.CategoryPlot,BRANCH,0.6788218793828892,713,484
org.apache.commons.cli.Util,BRANCH,1.0,9,9
org.apache.commons.cli2.WriteableCommandLine,BRANCH,0.0,0,0
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,BRANCH,0.9230769230769231,78,72
org.jfree.data.general.DatasetUtilities,BRANCH,0.8982142857142857,560,503
org.jfree.data.KeyedObjects2D,BRANCH,0.9305555555555556,72,67
org.jfree.chart.plot.PiePlot,BRANCH,0.7069408740359897,389,274
org.apache.commons.cli2.Option,BRANCH,0.0,0,0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,BRANCH,0.6349206349206349,63,40
org.jfree.chart.plot.CategoryPlot,BRANCH,0.7507418397626113,674,506
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9629629629629629,54,52
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9166666666666666,72,66
